datetime,open,high,low,close,volume,average,barCount,symbol,interval
2023-10-17 00:00:00+00:00,318.2,324.4,317.3,324.0,10779327.0,322.045,58359,META,1d
2023-10-18 00:00:00+00:00,321.58,325.94,315.56,316.97,10796929.0,320.249,53929,META,1d
2023-10-19 00:00:00+00:00,320.0,321.89,311.75,312.81,11777064.0,316.443,63154,META,1d
2023-10-20 00:00:00+00:00,314.21,315.3,306.47,308.65,14199477.0,310.556,66636,META,1d
2023-10-23 00:00:00+00:00,309.34,317.36,307.26,314.01,11110384.0,313.653,60606,META,1d
2023-10-24 00:00:00+00:00,317.0,318.35,310.63,312.55,11618372.0,314.229,60222,META,1d
2023-10-25 00:00:00+00:00,310.06,310.88,298.84,299.53,20592289.0,303.263,108382,META,1d
2023-10-26 00:00:00+00:00,295.0,295.0,279.44,288.35,46433788.0,287.273,234266,META,1d
2023-10-27 00:00:00+00:00,294.33,299.31,292.97,296.73,20683710.0,296.291,111431,META,1d
2023-10-30 00:00:00+00:00,299.09,309.4,299.05,302.66,19388333.0,304.02,97732,META,1d
2023-10-31 00:00:00+00:00,303.31,303.68,296.86,301.27,11759997.0,300.099,59412,META,1d
2023-11-01 00:00:00+00:00,301.85,312.74,301.85,311.85,13296113.0,307.621,73877,META,1d
2023-11-02 00:00:00+00:00,317.09,318.82,308.33,310.87,14555211.0,310.875,74519,META,1d
2023-11-03 00:00:00+00:00,312.75,315.55,311.01,314.6,10603383.0,313.461,53748,META,1d
2023-11-06 00:00:00+00:00,315.92,318.33,314.45,315.8,8159073.0,316.239,43600,META,1d
2023-11-07 00:00:00+00:00,317.06,321.0,315.12,318.82,8742493.0,319.017,47382,META,1d
2023-11-08 00:00:00+00:00,318.13,321.33,314.88,319.78,8208465.0,318.115,42976,META,1d
2023-11-09 00:00:00+00:00,319.42,324.18,318.8,320.55,8764336.0,321.074,46405,META,1d
2023-11-10 00:00:00+00:00,319.88,329.1,319.46,328.77,11213691.0,325.568,60408,META,1d
2023-11-13 00:00:00+00:00,326.35,332.33,325.7,329.19,9337462.0,329.984,50371,META,1d
2023-11-14 00:00:00+00:00,334.54,338.1,333.33,336.31,10048806.0,335.607,55106,META,1d
2023-11-15 00:00:00+00:00,337.93,338.4,330.02,332.71,8507552.0,333.817,48094,META,1d
2023-11-16 00:00:00+00:00,329.3,334.58,326.38,334.19,10704986.0,330.577,58665,META,1d
2023-11-17 00:00:00+00:00,330.6,335.5,329.35,335.04,8324905.0,333.37,42764,META,1d
2023-11-20 00:00:00+00:00,334.48,341.87,334.19,339.97,9502100.0,338.97,46739,META,1d
2023-11-21 00:00:00+00:00,338.36,339.91,335.9,336.98,7042502.0,337.967,38241,META,1d
2023-11-22 00:00:00+00:00,339.06,342.92,338.58,341.49,6666022.0,341.294,34647,META,1d
2023-11-24 00:00:00+00:00,340.13,341.86,336.77,338.23,3233149.0,338.528,18292,META,1d
2023-11-27 00:00:00+00:00,336.24,339.9,334.2,334.7,8467408.0,337.202,47351,META,1d
2023-11-28 00:00:00+00:00,333.4,339.38,333.4,338.99,7254148.0,336.231,37320,META,1d
2023-11-29 00:00:00+00:00,339.7,339.9,330.78,332.2,9974691.0,333.836,52331,META,1d
2023-11-30 00:00:00+00:00,331.87,333.5,322.4,327.15,11473611.0,325.816,64417,META,1d
2023-12-01 00:00:00+00:00,325.48,326.86,320.76,324.82,9206479.0,323.496,51453,META,1d
2023-12-04 00:00:00+00:00,317.27,320.86,313.66,320.02,11803776.0,317.072,64582,META,1d
2023-12-05 00:00:00+00:00,318.63,321.88,315.39,318.29,10755113.0,318.224,54276,META,1d
2023-12-06 00:00:00+00:00,321.87,322.25,317.04,317.45,6857647.0,319.387,33874,META,1d
2023-12-07 00:00:00+00:00,317.77,328.24,317.77,326.59,9755870.0,325.123,53815,META,1d
2023-12-08 00:00:00+00:00,323.1,333.17,323.0,332.75,7443595.0,329.942,42061,META,1d
2023-12-11 00:00:00+00:00,329.4,329.89,319.99,325.28,15753863.0,323.598,90827,META,1d
2023-12-12 00:00:00+00:00,324.59,334.47,324.56,334.22,9912939.0,330.503,56113,META,1d
2023-12-13 00:00:00+00:00,333.7,338.37,332.64,334.74,10133394.0,335.281,56193,META,1d
2023-12-14 00:00:00+00:00,333.85,334.7,328.63,333.17,11250396.0,331.85,68550,META,1d
2023-12-15 00:00:00+00:00,332.39,338.66,331.22,334.92,12377199.0,334.972,55467,META,1d
2023-12-18 00:00:00+00:00,337.37,347.56,337.02,344.62,12097617.0,344.093,64775,META,1d
2023-12-19 00:00:00+00:00,345.66,353.6,345.12,350.36,11309590.0,350.666,59185,META,1d
2023-12-20 00:00:00+00:00,348.65,354.96,347.79,349.28,9973045.0,351.556,53491,META,1d
2023-12-21 00:00:00+00:00,352.67,356.41,349.21,354.09,8707147.0,352.38,44455,META,1d
2023-12-22 00:00:00+00:00,355.58,357.2,351.22,353.39,7285058.0,353.941,38085,META,1d
2023-12-26 00:00:00+00:00,354.99,356.98,353.45,354.83,5859110.0,355.09,29292,META,1d
2023-12-27 00:00:00+00:00,356.07,359.0,355.31,357.83,6810344.0,357.418,36282,META,1d
